Linux 5.15.0-170-generic (gercom) 	02/28/26 	_x86_64_	(8 CPU)

19:56:20        CPU     %user     %nice   %system   %iowait    %steal     %idle
19:56:21        all     13.82      0.00      3.64      0.13      0.00     82.41
19:56:22        all     19.95      0.00      2.90      0.13      0.00     77.02
19:56:23        all      1.13      0.00      0.88      0.00      0.00     97.98
19:56:24        all      1.12      0.00      0.62      0.00      0.00     98.26
19:56:25        all      0.50      0.00      0.50      0.00      0.00     98.99
19:56:26        all     18.17      0.00      4.89      0.00      0.00     76.94
19:56:27        all     26.99      0.00      3.91      0.00      0.00     69.10
19:56:28        all     32.24      0.00      4.05      0.00      0.00     63.72
19:56:29        all     36.67      0.00      8.21      5.13      0.00     50.00
19:56:30        all     32.82      0.00     11.62      7.54      0.00     48.02
19:56:31        all     41.62      0.00     16.37      4.82      0.00     37.18
19:56:32        all     44.37      0.00     15.84      2.88      0.00     36.91
19:56:33        all     48.44      0.00     15.71      4.81      0.00     31.04
19:56:34        all     47.38      0.00     17.29      3.33      0.00     32.01
19:56:35        all     51.40      0.00     17.18      2.80      0.13     28.50
19:56:36        all     47.90      0.00     17.32      2.49      0.00     32.28
19:56:37        all     47.78      0.00     19.06      2.80      0.00     30.37
19:56:38        all     45.74      0.00     17.83      5.04      0.00     31.40
19:56:39        all     43.43      0.00     14.30      4.51      0.00     37.76
19:56:40        all     49.15      0.00     17.56      2.73      0.00     30.56
19:56:41        all     49.49      0.00     17.90      4.73      0.00     27.88
19:56:42        all     48.84      0.00     19.02      2.44      0.00     29.69
19:56:43        all     48.89      0.00     19.90      2.60      0.00     28.61
19:56:44        all     38.21      0.00     15.51     11.79      0.13     34.36
19:56:45        all     44.36      0.00     18.29      3.24      0.13     33.98
19:56:46        all     11.95      0.00      6.04      2.39      0.00     79.62
19:56:47        all      1.64      0.00      1.38      0.00      0.00     96.98
19:56:48        all      3.81      0.00      1.91      0.64      0.00     93.65
19:56:49        all      1.12      0.00      1.12      0.00      0.00     97.75
19:56:50        all      2.50      0.00      1.63      0.75      0.00     95.12
19:56:51        all      5.18      0.00      3.03      0.00      0.00     91.78
19:56:52        all     25.85      0.00      4.16      0.00      0.00     69.99
19:56:53        all     29.27      0.00      2.39      0.00      0.00     68.34
19:56:54        all     30.38      0.00      6.54      0.00      0.00     63.08
19:56:55        all     15.17      0.00      6.30      0.00      0.00     78.53
19:56:56        all     13.53      0.00      4.90      0.00      0.00     81.57
19:56:57        all     13.63      0.00      5.48      0.00      0.00     80.89
19:56:58        all     12.63      0.00      4.46      0.00      0.00     82.91
19:56:59        all     11.18      0.00      4.50      0.00      0.13     84.19
19:57:00        all     12.29      0.00      4.23      0.00      0.00     83.48
19:57:01        all     14.27      0.00      5.14      0.00      0.00     80.59
19:57:02        all     12.99      0.00      5.86      0.00      0.00     81.15
19:57:03        all     14.65      0.00      4.37      0.00      0.00     80.98
19:57:04        all     12.87      0.00      4.59      0.00      0.00     82.55
19:57:05        all     10.71      0.00      3.61      0.00      0.00     85.68
19:57:06        all     12.18      0.00      4.10      0.00      0.00     83.72
19:57:07        all     13.70      0.00      4.61      0.00      0.00     81.69
19:57:08        all      9.99      0.00      3.76      0.00      0.00     86.25
19:57:09        all     12.24      0.00      4.12      0.00      0.00     83.63
19:57:10        all      9.85      0.00      3.84      0.00      0.00     86.32
19:57:11        all     12.64      0.00      4.73      0.00      0.00     82.63
19:57:12        all     15.13      0.00      4.62      0.00      0.00     80.26
19:57:13        all     11.79      0.00      4.44      0.00      0.00     83.78
19:57:14        all      3.28      0.00      1.26      0.00      0.00     95.45
19:57:15        all     11.79      0.00      4.09      0.12      0.00     84.00
19:57:16        all     25.63      0.00      2.89      0.00      0.00     71.48
19:57:17        all     28.52      0.00      2.51      0.00      0.00     68.97
19:57:18        all     37.56      0.00     10.64      1.28      0.00     50.51
19:57:19        all     43.50      0.00     16.56      3.15      0.00     36.79
19:57:20        all     41.11      0.00     14.49      3.69      0.00     40.71
19:57:21        all     40.70      0.00     15.89      5.56      0.00     37.86
19:57:22        all     39.77      0.00     15.03      3.89      0.00     41.32
19:57:23        all     36.77      0.00     15.91      6.26      0.00     41.07
19:57:24        all     41.72      0.00     16.04      3.78      0.00     38.46
19:57:25        all     38.51      0.00     15.54      3.79      0.00     42.17
19:57:26        all     24.90      0.00      9.07     10.22      0.00     55.81
19:57:27        all      1.13      0.00      1.01      0.00      0.00     97.86
19:57:28        all      4.18      0.00      2.03      4.82      0.00     88.97
19:57:29        all      0.88      0.00      0.75      0.00      0.00     98.37
19:57:30        all      2.65      0.00      1.39      0.76      0.00     95.20
19:57:31        all      1.75      0.00      0.62      0.12      0.00     97.50
